Conflict,Combatants,Combatants,Result,Sovereign
Stairs Expedition(1891-1892),Congo Free State,Yeke Kingdom,"Victory Msiri killed, end of the Yeke Kingdom",Leopold II of Belgium
Congolese-Arab War(1892-1894),Congo Free State,Slave traders,Victory Swahili-Arab power in Congo shattered,Leopold II of Belgium
Batetela Rebellion(1895-1908),Congo Free State,Tetela rebels,Victory Rebels defeated,Leopold II of Belgium
Mahdist War(1896-1899),United Kingdom Congo Free State Ethiopia Italy,Mahdist Sudan,Victory Congo secures the Lado Enclave,Leopold II of Belgium
Congo Crisis(1960-1965),,,,
Congo Crisis(1960-1965),,,,
First Stanleyville Mutiny(1966),Congo-Léopoldville,Mutineers,Victory Mutiny crushed,Mobutu Sese Seko
Second Stanleyville Mutiny(1967),Congo-Léopoldville,Mutineers,Victory Mutiny crushed,Mobutu Sese Seko
Angolan Civil War(1975-1979),,,,
Shaba I(1977),Zaire Morocco Egypt,FNLC,Victory FNCL expelled from Katanga,Mobutu Sese Seko
Shaba II(1978),Zaire France Belgium Morocco,FNLC,Victory Non-aggression pact of 1979,Mobutu Sese Seko
Chadian-Libyan Conflict(1983-1987),Chad France Zaire,Libya GUNT,Victory Islamic Legion pushed out of Chad,Mobutu Sese Seko
Rwandan Civil War(1990-1991),Rwanda France Zaire,FPR,Withdrawal (1991) FPR takeover of Rwanda in 1994,Mobutu Sese Seko
First Congo War(1996-1997),,,,
Congo-Brazzaville Civil War(1997-1999),,,,
Second Congo War(1998-2003),,,,
Kivu Conflict(2004-2009),DR Congo Mai-Mai Zimbabwe Angola,CNDP,Victory CNDP integrated into the FARDC,Joseph Kabila
LRA Insurgency(2005-2019),,,,
Dongo Rebellion(2009),DR Congo Rwanda,RPD,Victory Rwandan-Congolese forces recaptured Dongo,Joseph Kabila
Katanga Insurgency(2011-2019),DR Congo Benin Egypt,Mai Mai Kata Katanga,"Ongoing Exodus of around 600,000 refugees",Joseph Kabila
M23 Rebellion(2012-2013),DR Congo South Africa Tanzania Malawi,M23,Victory M23 rebels disarm and demobilize after being pushed back near Rwanda,Joseph Kabila
ADF Insurgency(2013-2019),,,,
Séléka Rebellion(2013-2019),,,,
Kamwina Nsapu Rebellion(2016-2019),DR Congo,Kamwina Nsapu militia,Ongoing Ongoing rebellion,Joseph Kabila
