Conflict,Combatant 1,Combatant 2,Results
Mahdist War(1881-1899),Mahdist Sudan,United Kingdom Canada Egypt Italy Congo Free State Ethiopia,Defeat Sudanese invasions of neighbors repelled Sudan became an Anglo-Egyptian condominium
First Sudanese Civil War  (1955-1972),Sudan Libya Uganda,ALF Anyanya,Stalemate Addis Ababa Agreement[1]
Lebanese Civil War (1976-1979),ADF  Syria  Saudi Arabia  Sudan  UAE  Libya  South Yemen,LF,Withdrawal End of ADF mandate following the Hundred Days' War
Iran-Iraq War(1982-1988)[2],Iraq MEK DRFLA KDPI Sudan,Iran KDP PUK Badr Brigades,Stalemate Both Iraq and Iran accepted UNSC Resolution 598
Second Sudanese Civil War  (1983-2005),Sudan Janjaweed SSDF Nuer White Army SPLA-Nasir LRA Libya,SPLA SPDF SSLM Anyanya II Eastern Front Uganda Ethiopia Eritrea,"Stalemate Comprehensive Peace Agreement 2011 Referendum, independence of South Sudan Eastern Sudan Peace Agreement"
War in Darfur  (2003-2019),Sudan Janjaweed,JEM SLA,Ongoing Darfur Peace Agreement
Invasion of Anjouan(2008),Tanzania Sudan Comoros Senegal,Anjouan,Victory Toppling of Mohamed Bacar
War in South Kordofan  (2011-2019),Sudan,SPLA-N,Ongoing Intertwined with the War in Darfur
Heglig Crisis  (2012),Sudan,South Sudan,Victory South Sudanese withdrawal from Heglig
Saudi-led intervention in Yemen  (2015-2019),Hadi government Southern Movement Saudi Arabia United Arab Emirates Bahrain Kuwait Qatar Jordan Morocco Sudan Egypt Senegal,Houthi government,Ongoing Houthis dissolve Yemeni government Houthis take control of northern Yemen
