Conflict,Turkeyand allies,Opponents,Results,Military,Civilian
War of Independence(1919-1923),,,,,
Sheikh Said Rebellion(1925),,,,,
Ararat Rebellion(1927-1930),,,,,
Dersim Rebellion(1937-1938),,,,,
Korean War(1950-1953),,,,,
Cyprus crisis of 1963-64(1963-1964),,,,,
Political violence in Turkey(1976-1980),,,,,
Kurdish-Turkish Conflict(1978-2019),,,,,
Operation Restore Hope(1992-1995),,,,,
Bosnian War(1995),,,,,
Iraqi Kurdish Civil War(1997),,,,,
Kosovo War(1998-1999),,,,,
War in Afghanistan(2001-2019),,,,,
Libyan Civil War(2011),,,,,
American-led intervention in Iraq(2015-2019),,,,,
Operation Euphrates Shield(2016-2017),,,,,
Operation Olive Branch(2018-2019),,,,,
Operation Peace Spring(2019),,,,,
